net,length_um
clknet_2_2__leaf_clk,311.74µm
clknet_2_1__leaf_clk,302.56µm
clknet_0_clk,285.395µm
net212,240.26µm
clknet_2_0__leaf_clk,233.52µm
net166,232.39µm
net208,228.18µm
mantisaresult\[63\],212.5µm
mantisaresult\[47\],204.64µm
net236,203.83µm
mantisaresult\[49\],199.26µm
net159,199.12µm
clknet_2_3__leaf_clk,183.5µm
_0602_,182.14µm
mantisaresult\[50\],176.835µm
clknet_leaf_6_clk,175.54µm
net224,174.9µm
_0603_,170.93µm
net235,170.92µm
net106,169.125µm
net220,168.37µm
net170,166.145µm
net158,164.95µm
net225,164.375µm
clknet_leaf_26_clk,163.1µm
net226,158.58µm
net223,156.885µm
net151,155.45µm
_0936_,154.82µm
net121,153.49µm
mantisaresult\[51\],153.42µm
_0921_,150.93µm
clknet_leaf_24_clk,149.2µm
net207,148.07µm
net222,145.31µm
net137,141.78µm
net157,141.39µm
mantisaresult\[54\],141.35µm
inf2,140.54µm
_0926_,140.515µm
expmiddlec\[1\],139.74µm
_0372_,139.51µm
mantisaresult\[16\],139.41µm
net219,138.76µm
inf3,138.69µm
mantisaresult\[38\],138.42µm
clknet_leaf_9_clk,137.26µm
net147,136.7µm
sub,136.44µm
_1688_,134.58µm
_0632_,133.75µm
expmiddlec\[5\],132.61µm
expmiddlec\[4\],132.02µm
_0756_,131.91µm
net228,129.655µm
mantisaresult\[2\],129.5µm
mantisaresult\[37\],128.8µm
mantisaresult\[15\],128.715µm
_0610_,127.08µm
mantisaresult\[39\],125.94µm
mantisaresult\[3\],125.94µm
net221,125.91µm
_1687_,125.86µm
net150,125.68µm
mantisaresult\[0\],125.48µm
expmiddlec\[7\],125.3µm
_0630_,124.87µm
net251,124.2µm
expmiddlec\[2\],124.06µm
net125,123.96µm
_0615_,122.86µm
net187,121.11µm
mantisaresult\[55\],121.08µm
net218,120.88µm
net171,120.76µm
mantisaresult\[13\],120.45µm
net129,119.94µm
mantisaresult\[57\],119.875µm
_1713_,119.86µm
_0569_,119.8µm
mantisaresult\[56\],119.66µm
net248,118.21µm
clknet_leaf_20_clk,118.12µm
mantisaresult\[58\],118.1µm
_0846_,117.56µm
expmiddlec\[6\],117.32µm
clk,116.63µm
net200,116.03µm
net243,116µm
net178,115.96µm
net188,115.74µm
mantisaresult\[9\],115.68µm
_1086_,115.61µm
net168,114.935µm
_0925_,114.695µm
_1418_,114.58µm
_0267_,113.935µm
clknet_leaf_2_clk,113.6µm
net211,113.48µm
_0524_,112.96µm
_1908_,112.74µm
net143,112.68µm
_0338_,112.58µm
_0605_,112.46µm
clknet_leaf_16_clk,111.54µm
_0315_,110.44µm
_1914_,110.22µm
mantisaresult\[43\],109.78µm
net190,109.56µm
net114,109.415µm
net229,108.84µm
net172,108.76µm
_0612_,108.56µm
_0324_,108.34µm
mantisaresult\[12\],108.34µm
net176,108.255µm
net112,107.94µm
_1301_,107.7µm
net217,107.36µm
_1906_,107.32µm
net175,107.3µm
_1817_,106.57µm
