Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_79_461,VGND,li1,220.3400,228.4800,0.000016
FILLER_79_449,VGND,li1,214.8200,228.4800,0.000016
FILLER_79_445,VGND,li1,210.9100,228.4800,0.000016
FILLER_79_433,VGND,li1,207.4600,228.4800,0.000016
FILLER_79_421,VGND,li1,201.9400,228.4800,0.000016
FILLER_79_417,VGND,li1,198.0300,228.4800,0.000016
FILLER_79_405,VGND,li1,194.5800,228.4800,0.000016
FILLER_79_393,VGND,li1,189.0600,228.4800,0.000016
FILLER_79_391,VGND,li1,185.6100,228.4800,0.000016
FILLER_79_385,VGND,li1,184.0000,228.4800,0.000016
FILLER_79_377,VGND,li1,179.8600,228.4800,0.000015
FILLER_79_365,VGND,li1,176.1800,228.4800,0.000017
FILLER_79_358,VGND,li1,170.6600,228.4800,0.000023
FILLER_79_350,VGND,li1,168.3600,228.4800,0.000025
FILLER_79_343,VGND,li1,163.9900,228.4800,0.000027
FILLER_79_337,VGND,li1,161.0000,228.4800,0.000027
FILLER_79_333,VGND,li1,159.3900,228.4800,0.000027
FILLER_79_321,VGND,li1,155.9400,228.4800,0.000026
FILLER_79_309,VGND,li1,150.4200,228.4800,0.000025
FILLER_79_305,VGND,li1,146.5100,228.4800,0.000024
FILLER_79_293,VGND,li1,143.0600,228.4800,0.000024
FILLER_79_281,VGND,li1,137.5400,228.4800,0.000023
FILLER_79_277,VGND,li1,133.6300,228.4800,0.000022
FILLER_79_265,VGND,li1,130.1800,228.4800,0.000022
FILLER_79_253,VGND,li1,124.6600,228.4800,0.000021
FILLER_79_249,VGND,li1,120.7500,228.4800,0.000020
FILLER_79_237,VGND,li1,117.3000,228.4800,0.000020
FILLER_79_225,VGND,li1,111.7800,228.4800,0.000019
FILLER_79_221,VGND,li1,107.8700,228.4800,0.000018
FILLER_79_209,VGND,li1,104.4200,228.4800,0.000017
FILLER_79_197,VGND,li1,98.9000,228.4800,0.000016
FILLER_79_195,VGND,li1,95.4500,228.4800,0.000016
FILLER_79_191,VGND,li1,94.3000,228.4800,0.000016
FILLER_79_179,VGND,li1,90.6200,228.4800,0.000015
FILLER_79_175,VGND,li1,86.2500,228.4800,0.000014
FILLER_79_169,VGND,li1,84.6400,228.4800,0.000014
FILLER_79_165,VGND,li1,82.1100,228.4800,0.000014
FILLER_79_153,VGND,li1,78.6600,228.4800,0.000013
FILLER_79_141,VGND,li1,73.1400,228.4800,0.000012
FILLER_79_137,VGND,li1,69.2300,228.4800,0.000011
FILLER_79_125,VGND,li1,65.7800,228.4800,0.000011
FILLER_79_113,VGND,li1,60.2600,228.4800,0.000010
FILLER_79_109,VGND,li1,56.3500,228.4800,0.000009
FILLER_79_97,VGND,li1,52.9000,228.4800,0.000008
FILLER_79_85,VGND,li1,47.3800,228.4800,0.000007
FILLER_79_81,VGND,li1,43.4700,228.4800,0.000006
FILLER_79_69,VGND,li1,40.0200,228.4800,0.000006
FILLER_79_57,VGND,li1,34.5000,228.4800,0.000005
FILLER_79_54,VGND,li1,30.8200,228.4800,0.000004
FILLER_79_46,VGND,li1,28.5200,228.4800,0.000004
FILLER_79_37,VGND,li1,22.7700,228.4800,0.000003
FILLER_79_29,VGND,li1,20.7000,228.4800,0.000003
FILLER_79_27,VGND,li1,18.1700,228.4800,0.000003
FILLER_79_19,VGND,li1,16.1000,228.4800,0.000004
FILLER_78_469,VGND,li1,222.1800,223.0400,0.000007
FILLER_78_457,VGND,li1,218.5000,223.0400,0.000007
FILLER_78_445,VGND,li1,212.9800,223.0400,0.000007
FILLER_78_433,VGND,li1,207.4600,223.0400,0.000007
FILLER_78_421,VGND,li1,201.9400,223.0400,0.000007
FILLER_78_419,VGND,li1,198.4900,223.0400,0.000007
FILLER_78_413,VGND,li1,196.8800,223.0400,0.000007
FILLER_78_401,VGND,li1,192.7400,223.0400,0.000007
FILLER_78_389,VGND,li1,187.2200,223.0400,0.000007
FILLER_78_377,VGND,li1,181.7000,223.0400,0.000007
FILLER_78_365,VGND,li1,176.1800,223.0400,0.000009
FILLER_78_363,VGND,li1,172.7300,223.0400,0.000012
FILLER_78_357,VGND,li1,171.1200,223.0400,0.000012
FILLER_78_345,VGND,li1,166.9800,223.0400,0.000015
FILLER_78_333,VGND,li1,161.4600,223.0400,0.000019
FILLER_78_321,VGND,li1,155.9400,223.0400,0.000022
FILLER_78_309,VGND,li1,150.4200,223.0400,0.000026
FILLER_78_307,VGND,li1,146.9700,223.0400,0.000029
FILLER_78_301,VGND,li1,145.3600,223.0400,0.000029
FILLER_78_289,VGND,li1,141.2200,223.0400,0.000032
FILLER_78_277,VGND,li1,135.7000,223.0400,0.000037
FILLER_78_265,VGND,li1,130.1800,223.0400,0.000040
FILLER_78_253,VGND,li1,124.6600,223.0400,0.000044
FILLER_78_246,VGND,li1,120.0600,223.0400,0.000047
FILLER_78_234,VGND,li1,115.9200,223.0400,0.000050
FILLER_78_222,VGND,li1,110.4000,223.0400,0.000053
FILLER_78_211,VGND,li1,102.8100,223.0400,0.000058
FILLER_78_197,VGND,li1,97.9800,223.0400,0.000060
FILLER_78_195,VGND,li1,95.4500,223.0400,0.000061
FILLER_78_189,VGND,li1,93.8400,223.0400,0.000062
FILLER_78_169,VGND,li1,83.4900,223.0400,0.000062
FILLER_78_165,VGND,li1,82.3400,223.0400,0.000062
FILLER_78_153,VGND,li1,78.6600,223.0400,0.000062
FILLER_78_141,VGND,li1,73.1400,223.0400,0.000060
FILLER_78_128,VGND,li1,67.1600,223.0400,0.000057
FILLER_78_116,VGND,li1,61.6400,223.0400,0.000055
FILLER_78_104,VGND,li1,56.1200,223.0400,0.000053
FILLER_78_93,VGND,li1,48.9900,223.0400,0.000049
FILLER_78_78,VGND,li1,42.7800,223.0400,0.000044
FILLER_78_66,VGND,li1,38.6400,223.0400,0.000038
FILLER_78_54,VGND,li1,33.1200,223.0400,0.000031
FILLER_78_25,VGND,li1,17.7100,223.0400,0.000022
FILLER_78_13,VGND,li1,14.2600,223.0400,0.000022
FILLER_77_461,VGND,li1,220.3400,223.0400,0.000007
FILLER_77_449,VGND,li1,214.8200,223.0400,0.000007
FILLER_77_447,VGND,li1,211.3700,223.0400,0.000007
FILLER_77_441,VGND,li1,209.7600,223.0400,0.000007
FILLER_77_429,VGND,li1,205.6200,223.0400,0.000007
FILLER_77_417,VGND,li1,200.1000,223.0400,0.000007
FILLER_77_405,VGND,li1,194.5800,223.0400,0.000007
FILLER_77_393,VGND,li1,189.0600,223.0400,0.000007
FILLER_77_391,VGND,li1,185.6100,223.0400,0.000007
FILLER_77_385,VGND,li1,184.0000,223.0400,0.000007
FILLER_77_373,VGND,li1,179.8600,223.0400,0.000007
FILLER_77_361,VGND,li1,174.3400,223.0400,0.000011
FILLER_77_349,VGND,li1,168.8200,223.0400,0.000014
FILLER_77_337,VGND,li1,163.3000,223.0400,0.000017
