Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_79_461,VPWR,li1,220.3400,225.7600,1.799987
FILLER_79_449,VPWR,li1,214.8200,225.7600,1.799987
FILLER_79_445,VPWR,li1,210.9100,225.7600,1.799987
FILLER_79_433,VPWR,li1,207.4600,225.7600,1.799987
FILLER_79_421,VPWR,li1,201.9400,225.7600,1.799987
FILLER_79_417,VPWR,li1,198.0300,225.7600,1.799987
FILLER_79_405,VPWR,li1,194.5800,225.7600,1.799987
FILLER_79_393,VPWR,li1,189.0600,225.7600,1.799987
FILLER_79_391,VPWR,li1,185.6100,225.7600,1.799987
FILLER_79_385,VPWR,li1,184.0000,225.7600,1.799987
FILLER_79_377,VPWR,li1,179.8600,225.7600,1.799987
FILLER_79_365,VPWR,li1,176.1800,225.7600,1.799987
FILLER_79_358,VPWR,li1,170.6600,225.7600,1.799980
FILLER_79_350,VPWR,li1,168.3600,225.7600,1.799977
FILLER_79_343,VPWR,li1,163.9900,225.7600,1.799974
FILLER_79_337,VPWR,li1,161.0000,225.7600,1.799972
FILLER_79_333,VPWR,li1,159.3900,225.7600,1.799972
FILLER_79_321,VPWR,li1,155.9400,225.7600,1.799972
FILLER_79_309,VPWR,li1,150.4200,225.7600,1.799971
FILLER_79_305,VPWR,li1,146.5100,225.7600,1.799971
FILLER_79_293,VPWR,li1,143.0600,225.7600,1.799970
FILLER_79_281,VPWR,li1,137.5400,225.7600,1.799970
FILLER_79_277,VPWR,li1,133.6300,225.7600,1.799969
FILLER_79_265,VPWR,li1,130.1800,225.7600,1.799969
FILLER_79_253,VPWR,li1,124.6600,225.7600,1.799968
FILLER_79_249,VPWR,li1,120.7500,225.7600,1.799968
FILLER_79_237,VPWR,li1,117.3000,225.7600,1.799967
FILLER_79_225,VPWR,li1,111.7800,225.7600,1.799967
FILLER_79_221,VPWR,li1,107.8700,225.7600,1.799966
FILLER_79_209,VPWR,li1,104.4200,225.7600,1.799966
FILLER_79_197,VPWR,li1,98.9000,225.7600,1.799966
FILLER_79_195,VPWR,li1,95.4500,225.7600,1.799966
FILLER_79_191,VPWR,li1,94.3000,225.7600,1.799966
FILLER_79_179,VPWR,li1,90.6200,225.7600,1.799966
FILLER_79_175,VPWR,li1,86.2500,225.7600,1.799967
FILLER_79_169,VPWR,li1,84.6400,225.7600,1.799967
FILLER_79_165,VPWR,li1,82.1100,225.7600,1.799968
FILLER_79_153,VPWR,li1,78.6600,225.7600,1.799969
FILLER_79_141,VPWR,li1,73.1400,225.7600,1.799971
FILLER_79_137,VPWR,li1,69.2300,225.7600,1.799972
FILLER_79_125,VPWR,li1,65.7800,225.7600,1.799973
FILLER_79_113,VPWR,li1,60.2600,225.7600,1.799975
FILLER_79_109,VPWR,li1,56.3500,225.7600,1.799976
FILLER_79_97,VPWR,li1,52.9000,225.7600,1.799978
FILLER_79_85,VPWR,li1,47.3800,225.7600,1.799980
FILLER_79_81,VPWR,li1,43.4700,225.7600,1.799981
FILLER_79_69,VPWR,li1,40.0200,225.7600,1.799983
FILLER_79_57,VPWR,li1,34.5000,225.7600,1.799985
FILLER_79_54,VPWR,li1,30.8200,225.7600,1.799986
FILLER_79_46,VPWR,li1,28.5200,225.7600,1.799987
FILLER_79_37,VPWR,li1,22.7700,225.7600,1.799990
FILLER_79_29,VPWR,li1,20.7000,225.7600,1.799992
FILLER_79_27,VPWR,li1,18.1700,225.7600,1.799992
FILLER_79_19,VPWR,li1,16.1000,225.7600,1.799991
FILLER_78_469,VPWR,li1,222.1800,225.7600,1.799987
FILLER_78_457,VPWR,li1,218.5000,225.7600,1.799987
FILLER_78_445,VPWR,li1,212.9800,225.7600,1.799987
FILLER_78_433,VPWR,li1,207.4600,225.7600,1.799987
FILLER_78_421,VPWR,li1,201.9400,225.7600,1.799987
FILLER_78_419,VPWR,li1,198.4900,225.7600,1.799987
FILLER_78_413,VPWR,li1,196.8800,225.7600,1.799987
FILLER_78_401,VPWR,li1,192.7400,225.7600,1.799987
FILLER_78_389,VPWR,li1,187.2200,225.7600,1.799987
FILLER_78_377,VPWR,li1,181.7000,225.7600,1.799987
FILLER_78_365,VPWR,li1,176.1800,225.7600,1.799987
FILLER_78_363,VPWR,li1,172.7300,225.7600,1.799983
FILLER_78_357,VPWR,li1,171.1200,225.7600,1.799980
FILLER_78_345,VPWR,li1,166.9800,225.7600,1.799977
FILLER_78_333,VPWR,li1,161.4600,225.7600,1.799973
FILLER_78_321,VPWR,li1,155.9400,225.7600,1.799972
FILLER_78_309,VPWR,li1,150.4200,225.7600,1.799971
FILLER_78_307,VPWR,li1,146.9700,225.7600,1.799971
FILLER_78_301,VPWR,li1,145.3600,225.7600,1.799971
FILLER_78_289,VPWR,li1,141.2200,225.7600,1.799970
FILLER_78_277,VPWR,li1,135.7000,225.7600,1.799969
FILLER_78_265,VPWR,li1,130.1800,225.7600,1.799969
FILLER_78_253,VPWR,li1,124.6600,225.7600,1.799968
FILLER_78_246,VPWR,li1,120.0600,225.7600,1.799968
FILLER_78_234,VPWR,li1,115.9200,225.7600,1.799967
FILLER_78_222,VPWR,li1,110.4000,225.7600,1.799966
FILLER_78_211,VPWR,li1,102.8100,225.7600,1.799966
FILLER_78_197,VPWR,li1,97.9800,225.7600,1.799966
FILLER_78_195,VPWR,li1,95.4500,225.7600,1.799966
FILLER_78_189,VPWR,li1,93.8400,225.7600,1.799966
FILLER_78_169,VPWR,li1,83.4900,225.7600,1.799968
FILLER_78_165,VPWR,li1,82.3400,225.7600,1.799968
FILLER_78_153,VPWR,li1,78.6600,225.7600,1.799969
FILLER_78_141,VPWR,li1,73.1400,225.7600,1.799971
FILLER_78_128,VPWR,li1,67.1600,225.7600,1.799973
FILLER_78_116,VPWR,li1,61.6400,225.7600,1.799975
FILLER_78_104,VPWR,li1,56.1200,225.7600,1.799976
FILLER_78_93,VPWR,li1,48.9900,225.7600,1.799979
FILLER_78_78,VPWR,li1,42.7800,225.7600,1.799981
FILLER_78_66,VPWR,li1,38.6400,225.7600,1.799983
FILLER_78_54,VPWR,li1,33.1200,225.7600,1.799985
FILLER_78_25,VPWR,li1,17.7100,225.7600,1.799991
FILLER_78_13,VPWR,li1,14.2600,225.7600,1.799991
FILLER_77_461,VPWR,li1,220.3400,220.3200,1.799990
FILLER_77_449,VPWR,li1,214.8200,220.3200,1.799990
FILLER_77_447,VPWR,li1,211.3700,220.3200,1.799990
FILLER_77_441,VPWR,li1,209.7600,220.3200,1.799990
FILLER_77_429,VPWR,li1,205.6200,220.3200,1.799990
FILLER_77_417,VPWR,li1,200.1000,220.3200,1.799990
FILLER_77_405,VPWR,li1,194.5800,220.3200,1.799990
FILLER_77_393,VPWR,li1,189.0600,220.3200,1.799990
FILLER_77_391,VPWR,li1,185.6100,220.3200,1.799990
