net,length_um
net662,1.10915mm
net773,1.01452mm
net499,1.00006mm
net790,912.84µm
net559,866.71µm
net529,865.44µm
net740,828.26µm
net482,820.495µm
mantisaBshift\[17\],813.63µm
_10445_,796.12µm
net689,794.94µm
net799,794.26µm
net331,792.2µm
mantisaBshift\[20\],789.97µm
net723,784.72µm
_10423_,775.37µm
net825,773.59µm
net483,743.87µm
mantisaBshift\[21\],729.11µm
net747,727.87µm
net692,723.33µm
net906,712.67µm
net672,708.03µm
net862,689.385µm
_11488_,680.47µm
net676,677.53µm
net684,676.89µm
clknet_2_2__leaf_clk,669.935µm
mantisaBshift\[22\],664.23µm
net891,663.36µm
net924,661.68µm
clknet_2_1__leaf_clk,661.64µm
net789,658.59µm
net703,655.08µm
_10478_,652.18µm
net617,647.64µm
net649,632.67µm
net819,632.44µm
net604,631.09µm
net765,631.02µm
net581,629.06µm
mantisaBshift\[4\],619.93µm
net709,616.33µm
_10500_,612.82µm
net808,609.53µm
_08965_,609.51µm
net678,608.6µm
net521,602.51µm
net933,599.83µm
net835,598.01µm
net733,597.96µm
net818,592.3µm
_09849_,588.82µm
net782,580.54µm
net587,574.5µm
net764,572.09µm
net843,568.87µm
net478,565.67µm
clknet_2_3__leaf_clk,563.33µm
net834,561.88µm
net792,559.86µm
net810,557.45µm
net550,554.3µm
net905,549.7µm
net766,547.435µm
net635,543.28µm
_10511_,541.73µm
net543,537.945µm
net840,537.28µm
net498,536.09µm
mantisaresult\[29\],530.455µm
net824,526.885µm
mantisaBshift\[6\],525.97µm
net771,524.16µm
net634,518.66µm
net563,511.5µm
net566,511.35µm
net602,510.73µm
net610,508µm
net670,507.82µm
net722,507.24µm
mantisaresult\[28\],506.78µm
mantisaresult\[26\],506.15µm
net493,505.56µm
mantisaresult\[27\],505.21µm
net931,504.61µm
net515,503.625µm
mantisaBshift\[13\],502.96µm
net828,501.81µm
net770,494.93µm
net857,494.46µm
net524,490.46µm
mantisaBshift\[0\],488.11µm
_06277_,485.16µm
mantisaresult\[30\],481.42µm
net729,481.15µm
clknet_0_clk,480.9µm
net758,477.81µm
net923,477.56µm
net928,476.75µm
_10555_,475.24µm
net552,474.26µm
net557,473.55µm
mantisaresult\[31\],473.54µm
net798,471.8µm
_08772_,461.85µm
net578,460.06µm
_10434_,459.83µm
mantisaBshift\[8\],457.08µm
net696,456.53µm
_10368_,454.22µm
net853,454.06µm
_08966_,452.34µm
net654,450.27µm
net607,448.17µm
net608,445.4µm
net582,445.17µm
net574,444.89µm
net806,443.66µm
net851,442.99µm
net812,439.98µm
net562,439.78µm
net890,438.88µm
_13023_,438.82µm
net525,438.15µm
mantisaBshift\[10\],437.23µm
net884,435.1µm
mantisaresult\[34\],433.93µm
net593,433.7µm
net876,432.73µm
_13649_,430.75µm
net677,430.295µm
net693,429.37µm
net821,427.94µm
_11203_,425.9µm
net754,424.57µm
_11170_,424.48µm
net943,424.48µm
net783,422.855µm
net801,422.51µm
mantisaresult\[37\],422.49µm
net717,421.09µm
net513,420.36µm
net685,419.48µm
_10324_,418.89µm
net695,417.01µm
net736,416.91µm
net700,414.87µm
net927,413.66µm
net646,413.24µm
net796,411.14µm
net732,410.9µm
net584,410.48µm
mantisaresult\[36\],410.45µm
net691,408.54µm
net573,408.39µm
net757,407.92µm
net614,407.62µm
net640,407.29µm
mantisaresult\[35\],405.07µm
net856,402.98µm
_06345_,400.63µm
mantisaBshift\[5\],400.29µm
net875,399.72µm
net663,399.19µm
net832,398.215µm
net690,397.62µm
net885,397.47µm
net800,396.69µm
net708,395.96µm
net780,395.76µm
net653,394.56µm
net619,394.385µm
clknet_2_0__leaf_clk,394.33µm
mantisaBshift\[18\],393.19µm
net795,391.09µm
net590,388.54µm
net613,388.52µm
mantisaresult\[0\],388.08µm
net512,387.35µm
net899,387.01µm
net772,385.53µm
_10533_,383.97µm
_13024_,383.25µm
net739,383.17µm
net726,383.15µm
_05825_,383µm
net673,381.96µm
net542,381.81µm
_10665_,381.72µm
net532,381.6µm
mantisaresult\[38\],380.15µm
net788,378.94µm
net481,378.715µm
mantisaresult\[25\],375.2µm
mantisaresult\[39\],372.26µm
net549,371.87µm
net746,369.49µm
_10335_,367.31µm
net930,366.31µm
clk,365.45µm
_10456_,365.11µm
mantisaresult\[24\],364.2µm
_14690_,363.98µm
mantisaresult\[33\],363.06µm
net805,362.02µm
net669,360.69µm
net528,359.88µm
mantisaresult\[32\],359.535µm
net599,359.295µm
net627,357.54µm
net629,356.58µm
_13022_,356.17µm
net522,354µm
net877,351.8µm
net829,348.13µm
net545,347.16µm
net775,346.68µm
mantisaBshift\[16\],346.4µm
net622,344.55µm
net866,344.44µm
net637,343.98µm
net682,343.4µm
net601,343.16µm
net644,342.115µm
net492,341.3µm
net895,341µm
_10357_,340.43µm
net652,339.16µm
net516,336.69µm
net863,336.09µm
net748,336µm
net909,335.86µm
net916,335.86µm
net743,335.3µm
net741,333.66µm
mantisaresult\[2\],332.67µm
net580,331.86µm
net859,331.71µm
_08773_,330.28µm
net820,329.87µm
net655,328.69µm
net781,327.94µm
_10401_,326.95µm
_00756_,326.57µm
net583,324.88µm
net531,322.92µm
net816,322.12µm
net595,321.56µm
net592,321.28µm
net759,320.53µm
net539,320.4µm
net804,319.04µm
_03769_,317.345µm
net624,317.06µm
mantisaresult\[1\],316.835µm
net291,315.88µm
net911,315.45µm
net761,314.25µm
mantisaresult\[40\],314.075µm
net538,312.3µm
net679,311.58µm
net594,310.925µm
net660,310.64µm
net546,309.98µm
net586,309.935µm
net687,309.82µm
net869,309.42µm
net589,308.24µm
net719,307.8µm
net823,307.57µm
net615,306.89µm
net779,306.58µm
mantisaresult\[22\],306.3µm
_04277_,305.52µm
net632,304.95µm
net612,304.85µm
_14691_,304.48µm
net504,303.44µm
net776,303.17µm
net898,302.2µm
net900,299.79µm
net625,298.16µm
_04932_,297.76µm
net929,296.91µm
net680,295.79µm
net778,295.64µm
net514,294.98µm
_02636_,294.56µm
_02745_,292.82µm
net575,292.72µm
net881,292.13µm
net114,291.48µm
net668,289.18µm
net636,287.145µm
mantisaresult\[41\],287.05µm
_02746_,287µm
mantisaresult\[4\],286.78µm
net711,286.78µm
net707,286.14µm
net497,286µm
net846,285.38µm
net706,283.8µm
net817,283.31µm
net572,283.18µm
net547,282.34µm
mantisaBshift\[7\],281.98µm
mantisaresult\[18\],281.11µm
mantisaresult\[21\],280.69µm
net699,280.66µm
net850,280.37µm
net569,280.21µm
net768,280.07µm
net845,280.05µm
net671,279.26µm
net870,279.095µm
net724,277.93µm
mantisaresult\[23\],277.695µm
net588,277.07µm
net794,275.94µm
net645,275.74µm
net880,275.7µm
mantisaresult\[7\],275.66µm
net847,274.89µm
net753,274.52µm
net714,273.7µm
net836,272.71µm
net786,272.24µm
net535,272.16µm
net658,270.36µm
_04072_,269.96µm
net659,269.74µm
_04036_,268.575µm
net609,268.47µm
net744,268.175µm
net479,268.12µm
net533,267.51µm
net809,266.55µm
net618,266.17µm
net551,266.05µm
net647,265.985µm
net198,265.93µm
net100,265.55µm
net830,265.51µm
net491,264.83µm
mantisaresult\[42\],264.52µm
net797,263.94µm
net720,263.82µm
net910,263.63µm
net643,263.08µm
net716,262.84µm
_00758_,260.82µm
net697,259.7µm
net915,259.5µm
net807,259.4µm
net565,258.9µm
net755,258.04µm
net932,257.16µm
_11061_,256.87µm
net702,255.72µm
net623,255.075µm
net120,254.68µm
_10489_,254µm
net480,252.11µm
net922,252.08µm
net756,252.055µm
net631,251.62µm
net1082,251.08µm
_01555_,250.68µm
net784,250.51µm
net541,250.03µm
net762,248.8µm
net568,248.42µm
_11159_,248.39µm
net763,248.26µm
net638,246.33µm
net556,245.89µm
net769,245.61µm
net118,244.4µm
net864,244.38µm
_02029_,243.94µm
net123,243.52µm
mantisaresult\[20\],243.51µm
net675,243.24µm
net628,242.09µm
net579,240.8µm
net570,240.38µm
net560,240.1µm
net135,239.98µm
net737,239.73µm
net791,239.35µm
net731,239.02µm
net760,238.9µm
net530,238.44µm
_03368_,238.26µm
net852,235.92µm
net657,235.82µm
net503,234.9µm
_03366_,234.85µm
net603,234.12µm
_03678_,233.97µm
net904,233.5µm
net621,232.83µm
mantisaresult\[19\],232.37µm
net127,231.89µm
net728,231.805µm
net892,231.54µm
mantisaresult\[17\],230.915µm
_04035_,229.8µm
net889,229.19µm
net484,228.85µm
net688,226.92µm
net318,226.635µm
net611,226.28µm
net713,225.81µm
mantisaBshift\[23\],225.03µm
net605,224.94µm
_02599_,223.64µm
net774,223.45µm
_00747_,223.26µm
net526,223.2µm
net220,223.18µm
_10544_,223.11µm
net734,222.2µm
net170,222.17µm
net537,221.93µm
net501,221.38µm
net907,221.02µm
net527,220.88µm
net871,220.68µm
net553,220.5µm
net600,219.38µm
net633,218.67µm
net540,218.49µm
net577,218.47µm
net681,218.04µm
_04238_,216.87µm
_02176_,216.75µm
net841,216.43µm
_02022_,215.56µm
_05267_,214.48µm
net767,214.3µm
net368,214.11µm
_01896_,213.87µm
mantisaresult\[44\],212.6µm
net299,212.04µm
net548,211.91µm
_01901_,209.91µm
net151,209.34µm
_01999_,208.56µm
net802,208.2µm
_02007_,208.14µm
net598,207.64µm
net849,206.74µm
net596,206.72µm
_02598_,206.315µm
_01908_,205.82µm
net742,205.47µm
_02618_,205.38µm
_04838_,205.34µm
net496,205.24µm
_10522_,205.2µm
net952,204.82µm
mantisaresult\[10\],204.79µm
mantisaresult\[43\],204.64µm
net666,204.44µm
_01899_,204.435µm
net642,203.65µm
net597,203.54µm
net196,203.405µm
_02888_,203.285µm
net111,203.18µm
_03258_,202.52µm
net908,202µm
net813,201.54µm
net162,201.33µm
_05520_,201.18µm
_10390_,201.02µm
_01904_,200.295µm
_01964_,200µm
mantisaresult\[5\],199.45µm
net698,199.22µm
net730,198.92µm
net626,198.35µm
_13491_,198.25µm
net591,198.18µm
net500,197.96µm
_04427_,197.5µm
net236,196.23µm
net585,196.22µm
_01959_,195.845µm
_01981_,195.78µm
_03272_,194.94µm
_01958_,194.74µm
net558,194.56µm
net738,193.68µm
_12492_,193.46µm
net1042,193.41µm
net661,193µm
net620,192.245µm
net303,191.26µm
net751,191.1µm
net883,190.66µm
