Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_195_1149,VPWR,li1,535.9000,541.2800,1.705959
FILLER_195_1145,VPWR,li1,532.9100,541.2800,1.705959
FILLER_195_1133,VPWR,li1,529.4600,541.2800,1.705959
FILLER_195_1121,VPWR,li1,523.9400,541.2800,1.705959
FILLER_195_1117,VPWR,li1,520.0300,541.2800,1.705959
FILLER_195_1105,VPWR,li1,516.5800,541.2800,1.705959
FILLER_195_1093,VPWR,li1,511.0600,541.2800,1.705959
FILLER_195_1089,VPWR,li1,507.1500,541.2800,1.705959
FILLER_195_1077,VPWR,li1,503.7000,541.2800,1.705959
FILLER_195_1065,VPWR,li1,498.1800,541.2800,1.705959
FILLER_195_1061,VPWR,li1,494.2700,541.2800,1.705959
FILLER_195_1049,VPWR,li1,490.8200,541.2800,1.705959
FILLER_195_1037,VPWR,li1,485.3000,541.2800,1.705959
FILLER_195_1033,VPWR,li1,481.3900,541.2800,1.686499
FILLER_195_1021,VPWR,li1,477.9400,541.2800,1.664876
FILLER_195_1009,VPWR,li1,472.4200,541.2800,1.612982
FILLER_195_1005,VPWR,li1,468.5100,541.2800,1.576224
FILLER_195_993,VPWR,li1,465.0600,541.2800,1.543790
FILLER_195_981,VPWR,li1,459.5400,541.2800,1.491896
FILLER_195_977,VPWR,li1,455.6300,541.2800,1.444326
FILLER_195_965,VPWR,li1,452.1800,541.2800,1.422704
FILLER_195_953,VPWR,li1,446.6600,541.2800,1.370810
FILLER_195_949,VPWR,li1,442.7500,541.2800,1.334052
FILLER_195_937,VPWR,li1,439.3000,541.2800,1.301618
FILLER_195_925,VPWR,li1,433.7800,541.2800,1.249724
FILLER_195_921,VPWR,li1,429.8700,541.2800,1.202154
FILLER_195_909,VPWR,li1,426.4200,541.2800,1.180532
FILLER_195_897,VPWR,li1,420.9000,541.2800,1.128638
FILLER_195_893,VPWR,li1,416.9900,541.2800,1.091879
FILLER_195_881,VPWR,li1,413.5400,541.2800,1.059446
FILLER_195_869,VPWR,li1,408.0200,541.2800,1.007552
FILLER_195_867,VPWR,li1,404.5700,541.2800,0.972956
FILLER_195_861,VPWR,li1,402.9600,541.2800,0.953495
FILLER_195_849,VPWR,li1,398.8200,541.2800,0.921370
FILLER_195_841,VPWR,li1,393.0700,541.2800,0.878599
FILLER_195_828,VPWR,li1,389.1600,541.2800,0.866717
FILLER_195_813,VPWR,li1,382.2600,541.2800,0.864150
FILLER_195_809,VPWR,li1,378.3500,541.2800,0.875707
FILLER_195_797,VPWR,li1,374.9000,541.2800,0.885221
FILLER_195_785,VPWR,li1,369.3800,541.2800,0.913386
FILLER_195_778,VPWR,li1,364.7800,541.2800,0.962406
FILLER_195_766,VPWR,li1,360.6400,541.2800,0.996455
FILLER_195_760,VPWR,li1,355.8100,541.2800,1.067489
FILLER_195_753,VPWR,li1,352.5900,541.2800,1.093541
FILLER_195_741,VPWR,li1,349.1400,541.2800,1.142388
FILLER_195_729,VPWR,li1,343.6200,541.2800,1.265341
FILLER_195_725,VPWR,li1,339.7100,541.2800,1.337594
FILLER_195_713,VPWR,li1,336.2600,541.2800,1.415564
FILLER_195_701,VPWR,li1,330.7400,541.2800,1.519523
FILLER_195_697,VPWR,li1,326.8300,541.2800,1.589822
FILLER_195_685,VPWR,li1,323.3800,541.2800,1.592849
FILLER_195_673,VPWR,li1,317.8600,541.2800,1.600115
FILLER_195_669,VPWR,li1,313.9500,541.2800,1.605262
FILLER_195_657,VPWR,li1,310.5000,541.2800,1.609804
FILLER_195_645,VPWR,li1,304.9800,541.2800,1.617070
FILLER_195_641,VPWR,li1,301.0700,541.2800,1.623731
FILLER_195_629,VPWR,li1,297.6200,541.2800,1.626758
FILLER_195_617,VPWR,li1,292.1000,541.2800,1.634025
FILLER_195_613,VPWR,li1,288.1900,541.2800,1.639172
FILLER_195_601,VPWR,li1,284.7400,541.2800,1.643713
FILLER_195_589,VPWR,li1,279.2200,541.2800,1.650979
FILLER_195_585,VPWR,li1,275.3100,541.2800,1.657640
FILLER_195_573,VPWR,li1,271.8600,541.2800,1.660668
