net,length_um
net188,794.34µm
net370,746.81µm
net176,737.19µm
net180,734.71µm
net378,720.12µm
net164,716.85µm
net508,685.69µm
_1368_,622.12µm
_0613_,602.84µm
net415,585.19µm
net193,582.09µm
net192,581.35µm
_1606_,559.43µm
net156,553.8µm
net322,549.155µm
net165,544.87µm
clknet_0_clk,543.33µm
net320,540.895µm
_1152_,536.74µm
net350,535.81µm
_1149_,532.94µm
_0604_,532.5µm
net214,532.18µm
_1151_,528.7µm
net206,522.96µm
net173,517.04µm
net330,515.83µm
net371,514.34µm
_1296_,511.405µm
net178,509.44µm
net161,508.48µm
net401,502.75µm
_1300_,500µm
_1611_,497.67µm
net154,492.42µm
net292,491.99µm
net299,486.92µm
_1299_,484.51µm
net282,483µm
net181,482.9µm
net153,482.1µm
net177,481.81µm
_1221_,481.76µm
net169,481.69µm
_1301_,480.54µm
net483,478.955µm
net162,477.55µm
net489,471.535µm
net248,470.86µm
net270,468.08µm
net174,467.28µm
net422,466.51µm
net157,464.18µm
net542,462.12µm
net491,461.295µm
net368,459.65µm
net390,459.07µm
net220,457.8µm
net394,456.81µm
net189,453.75µm
net435,453.52µm
net185,452.34µm
_1511_,451.39µm
net351,449.525µm
_1008_,447.81µm
_1639_,445.21µm
net367,444.57µm
net493,444.51µm
net186,442.33µm
net497,441.72µm
net195,440.41µm
net288,438.315µm
net375,437.24µm
net190,435.225µm
net463,435.2µm
net376,434.57µm
_2114_,433.1µm
net388,427.46µm
net505,425.445µm
net207,422.42µm
net355,420.25µm
_0789_,420.14µm
net261,419.16µm
net228,416.26µm
net455,411.8µm
net528,411.13µm
net314,410.41µm
_1072_,410.355µm
_1600_,409.975µm
_1635_,408.2µm
_2111_,407.31µm
net476,403.365µm
_2049_,402.46µm
net472,400.92µm
net353,393.96µm
net199,392.57µm
net326,389µm
net520,387.745µm
net268,387.41µm
_2047_,385.86µm
net357,384.995µm
_0605_,383.69µm
net310,383.31µm
net558,382.31µm
_0783_,382.185µm
net389,376.88µm
net437,374.38µm
_0868_,371.7µm
net517,369.57µm
_0787_,369.35µm
net271,368.885µm
net414,368.81µm
net487,365.795µm
net315,365.535µm
net312,362.56µm
net386,359.77µm
net317,359.58µm
net240,359.43µm
_1616_,358.99µm
_0936_,356.98µm
net183,356.6µm
_1442_,356.13µm
net495,355.63µm
net373,354.885µm
net533,354.3µm
net500,353.31µm
_1435_,352.21µm
net204,351.78µm
net284,351.45µm
net257,350.93µm
net247,349.57µm
net159,348.69µm
net291,347.72µm
_2045_,346.3µm
net209,345.84µm
net363,345.2µm
net215,344.59µm
net306,344.5µm
net419,343.71µm
net243,340.865µm
_2112_,340.53µm
net428,339.235µm
net278,339.015µm
net241,338.96µm
net409,338.935µm
net344,338.8µm
net519,338.63µm
net502,338.19µm
_1440_,336.23µm
net167,336.2µm
net446,335.815µm
net245,334.72µm
net324,332.04µm
net473,331.425µm
net545,330.585µm
