Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_94_561,VGND,li1,263.8100,266.5600,0.000065
FILLER_94_557,VGND,li1,262.4300,266.5600,0.000065
FILLER_94_545,VGND,li1,258.9800,266.5600,0.000065
FILLER_94_533,VGND,li1,253.4600,266.5600,0.000065
FILLER_94_530,VGND,li1,249.7800,266.5600,0.000065
FILLER_94_522,VGND,li1,247.4800,266.5600,0.000065
FILLER_94_510,VGND,li1,242.8800,266.5600,0.000065
FILLER_94_505,VGND,li1,238.2800,266.5600,0.000065
FILLER_94_503,VGND,li1,237.1300,266.5600,0.000064
FILLER_94_496,VGND,li1,234.6000,266.5600,0.000064
FILLER_94_489,VGND,li1,231.3800,266.5600,0.000064
FILLER_94_477,VGND,li1,227.7000,266.5600,0.000064
FILLER_94_475,VGND,li1,224.2500,266.5600,0.000064
FILLER_94_468,VGND,li1,221.7200,266.5600,0.000064
FILLER_94_461,VGND,li1,218.5000,266.5600,0.000064
FILLER_94_455,VGND,li1,215.5100,266.5600,0.000063
FILLER_94_449,VGND,li1,212.5200,266.5600,0.000062
FILLER_94_441,VGND,li1,209.0700,266.5600,0.000061
FILLER_94_433,VGND,li1,206.5400,266.5600,0.000059
FILLER_94_421,VGND,li1,201.9400,266.5600,0.000056
FILLER_94_419,VGND,li1,198.4900,266.5600,0.000052
FILLER_94_413,VGND,li1,196.8800,266.5600,0.000052
FILLER_94_408,VGND,li1,193.4300,266.5600,0.000050
FILLER_94_396,VGND,li1,190.4400,266.5600,0.000046
FILLER_94_368,VGND,li1,175.0300,266.5600,0.000052
FILLER_94_358,VGND,li1,170.6600,266.5600,0.000065
FILLER_94_334,VGND,li1,159.6200,266.5600,0.000087
FILLER_94_325,VGND,li1,155.2500,266.5600,0.000097
FILLER_94_317,VGND,li1,151.5700,266.5600,0.000105
FILLER_94_279,VGND,li1,134.0900,266.5600,0.000128
FILLER_94_260,VGND,li1,125.5800,266.5600,0.000137
FILLER_94_229,VGND,li1,111.0900,266.5600,0.000143
FILLER_94_208,VGND,li1,101.6600,266.5600,0.000141
FILLER_94_195,VGND,li1,95.4500,266.5600,0.000138
FILLER_94_188,VGND,li1,92.9200,266.5600,0.000135
FILLER_94_181,VGND,li1,89.7000,266.5600,0.000132
FILLER_94_177,VGND,li1,87.1700,266.5600,0.000129
FILLER_94_169,VGND,li1,85.1000,266.5600,0.000127
FILLER_94_165,VGND,li1,82.1100,266.5600,0.000122
FILLER_94_141,VGND,li1,70.8400,266.5600,0.000105
FILLER_94_125,VGND,li1,63.4800,266.5600,0.000092
FILLER_94_113,VGND,li1,60.2600,266.5600,0.000086
FILLER_94_109,VGND,li1,56.3500,266.5600,0.000076
FILLER_94_97,VGND,li1,52.9000,266.5600,0.000072
FILLER_94_85,VGND,li1,47.3800,266.5600,0.000061
FILLER_94_81,VGND,li1,43.4700,266.5600,0.000054
FILLER_94_69,VGND,li1,40.0200,266.5600,0.000047
FILLER_94_57,VGND,li1,34.5000,266.5600,0.000037
FILLER_94_53,VGND,li1,30.5900,266.5600,0.000028
FILLER_94_41,VGND,li1,27.1400,266.5600,0.000023
FILLER_94_29,VGND,li1,21.6200,266.5600,0.000019
FILLER_94_27,VGND,li1,18.1700,266.5600,0.000019
FILLER_94_15,VGND,li1,15.1800,266.5600,0.000019
FILLER_94_3,VGND,li1,9.6600,266.5600,0.000019
FILLER_93_561,VGND,li1,263.8100,266.5600,0.000065
FILLER_93_559,VGND,li1,262.8900,266.5600,0.000065
FILLER_93_553,VGND,li1,261.2800,266.5600,0.000065
FILLER_93_541,VGND,li1,257.1400,266.5600,0.000065
FILLER_93_529,VGND,li1,251.6200,266.5600,0.000065
FILLER_93_517,VGND,li1,246.1000,266.5600,0.000065
FILLER_93_505,VGND,li1,240.5800,266.5600,0.000065
FILLER_93_502,VGND,li1,236.9000,266.5600,0.000064
FILLER_93_494,VGND,li1,234.6000,266.5600,0.000064
FILLER_93_482,VGND,li1,230.0000,266.5600,0.000064
FILLER_93_470,VGND,li1,224.4800,266.5600,0.000064
FILLER_93_458,VGND,li1,218.9600,266.5600,0.000064
FILLER_93_429,VGND,li1,203.7800,266.5600,0.000057
FILLER_93_417,VGND,li1,200.1000,266.5600,0.000054
FILLER_93_405,VGND,li1,194.5800,266.5600,0.000050
FILLER_93_393,VGND,li1,189.0600,266.5600,0.000046
FILLER_93_368,VGND,li1,175.0300,266.5600,0.000052
FILLER_93_358,VGND,li1,170.6600,266.5600,0.000065
FILLER_93_322,VGND,li1,153.8700,266.5600,0.000101
FILLER_93_289,VGND,li1,138.9200,266.5600,0.000124
FILLER_93_248,VGND,li1,120.0600,266.5600,0.000141
FILLER_93_206,VGND,li1,100.7400,266.5600,0.000141
FILLER_93_177,VGND,li1,87.4000,266.5600,0.000129
FILLER_93_169,VGND,li1,85.1000,266.5600,0.000127
FILLER_93_162,VGND,li1,81.4200,266.5600,0.000122
FILLER_93_125,VGND,li1,65.7800,266.5600,0.000096
FILLER_93_113,VGND,li1,60.2600,266.5600,0.000086
FILLER_93_111,VGND,li1,56.8100,266.5600,0.000076
FILLER_93_105,VGND,li1,55.2000,266.5600,0.000076
FILLER_93_93,VGND,li1,51.0600,266.5600,0.000068
FILLER_93_81,VGND,li1,45.5400,266.5600,0.000058
FILLER_93_69,VGND,li1,40.0200,266.5600,0.000047
FILLER_93_57,VGND,li1,34.5000,266.5600,0.000037
FILLER_93_55,VGND,li1,31.0500,266.5600,0.000028
FILLER_93_51,VGND,li1,29.9000,266.5600,0.000028
FILLER_93_39,VGND,li1,26.2200,266.5600,0.000019
FILLER_93_27,VGND,li1,20.7000,266.5600,0.000019
FILLER_93_15,VGND,li1,15.1800,266.5600,0.000019
FILLER_93_3,VGND,li1,9.6600,266.5600,0.000019
FILLER_92_561,VGND,li1,263.8100,261.1200,0.000077
FILLER_92_557,VGND,li1,262.6600,261.1200,0.000077
FILLER_92_545,VGND,li1,258.9800,261.1200,0.000077
FILLER_92_533,VGND,li1,253.4600,261.1200,0.000077
FILLER_92_531,VGND,li1,250.0100,261.1200,0.000077
FILLER_92_525,VGND,li1,248.4000,261.1200,0.000077
FILLER_92_513,VGND,li1,244.2600,261.1200,0.000077
FILLER_92_501,VGND,li1,238.7400,261.1200,0.000077
FILLER_92_489,VGND,li1,233.2200,261.1200,0.000077
