Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_94_561,VPWR,li1,263.8100,269.2800,1.799944
FILLER_94_557,VPWR,li1,262.4300,269.2800,1.799944
FILLER_94_545,VPWR,li1,258.9800,269.2800,1.799944
FILLER_94_533,VPWR,li1,253.4600,269.2800,1.799944
FILLER_94_530,VPWR,li1,249.7800,269.2800,1.799944
FILLER_94_522,VPWR,li1,247.4800,269.2800,1.799944
FILLER_94_510,VPWR,li1,242.8800,269.2800,1.799944
FILLER_94_505,VPWR,li1,238.2800,269.2800,1.799944
FILLER_94_503,VPWR,li1,237.1300,269.2800,1.799944
FILLER_94_496,VPWR,li1,234.6000,269.2800,1.799944
FILLER_94_489,VPWR,li1,231.3800,269.2800,1.799944
FILLER_94_477,VPWR,li1,227.7000,269.2800,1.799944
FILLER_94_475,VPWR,li1,224.2500,269.2800,1.799944
FILLER_94_468,VPWR,li1,221.7200,269.2800,1.799945
FILLER_94_461,VPWR,li1,218.5000,269.2800,1.799945
FILLER_94_455,VPWR,li1,215.5100,269.2800,1.799945
FILLER_94_449,VPWR,li1,212.5200,269.2800,1.799946
FILLER_94_441,VPWR,li1,209.0700,269.2800,1.799947
FILLER_94_433,VPWR,li1,206.5400,269.2800,1.799949
FILLER_94_421,VPWR,li1,201.9400,269.2800,1.799951
FILLER_94_419,VPWR,li1,198.4900,269.2800,1.799953
FILLER_94_413,VPWR,li1,196.8800,269.2800,1.799953
FILLER_94_408,VPWR,li1,193.4300,269.2800,1.799955
FILLER_94_396,VPWR,li1,190.4400,269.2800,1.799957
FILLER_94_368,VPWR,li1,175.0300,269.2800,1.799972
FILLER_94_358,VPWR,li1,170.6600,269.2800,1.799963
FILLER_94_334,VPWR,li1,159.6200,269.2800,1.799948
FILLER_94_325,VPWR,li1,155.2500,269.2800,1.799942
FILLER_94_317,VPWR,li1,151.5700,269.2800,1.799936
FILLER_94_279,VPWR,li1,134.0900,269.2800,1.799918
FILLER_94_260,VPWR,li1,125.5800,269.2800,1.799911
FILLER_94_229,VPWR,li1,111.0900,269.2800,1.799904
FILLER_94_208,VPWR,li1,101.6600,269.2800,1.799904
FILLER_94_195,VPWR,li1,95.4500,269.2800,1.799905
FILLER_94_188,VPWR,li1,92.9200,269.2800,1.799907
