Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,456
design__inferred_latch__count,0
design__instance__count,5351
design__instance__area,44745.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,51
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,58
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0019295060774311423
power__switching__total,0.0009523903718218207
power__leakage__total,5.634702660017865E-8
power__total,0.0028819527942687273
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2828789227372461
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.44628993430699154
timing__hold__ws__corner:nom_tt_025C_1v80,0.345271598862199
timing__setup__ws__corner:nom_tt_025C_1v80,16.171640484461374
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.345272
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,114
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,58
design__max_cap_violation__count__corner:nom_ss_100C_1v60,7
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.30419254087758024
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5908720346913618
timing__hold__ws__corner:nom_ss_100C_1v60,0.9231634606940515
timing__setup__ws__corner:nom_ss_100C_1v60,12.85170495289379
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.923163
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,23
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,58
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2733379433495363
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.38451851124861347
timing__hold__ws__corner:nom_ff_n40C_1v95,0.114902590694399
timing__setup__ws__corner:nom_ff_n40C_1v95,17.5111023970937
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114903
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,133
design__max_fanout_violation__count,58
design__max_cap_violation__count,8
clock__skew__worst_hold,-0.27147743155225057
clock__skew__worst_setup,0.38114693036092573
timing__hold__ws,0.11186452081274101
timing__setup__ws,12.530982828291014
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111865
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,18.371040
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 271.25 281.97
design__core__bbox,5.52 10.88 265.42 269.28
design__io,159
design__die__area,76484.4
design__core__area,67158.2
design__instance__count__stdcell,5351
design__instance__area__stdcell,44745.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.666269
design__instance__utilization__stdcell,0.666269
design__instance__count__class:inverter,9
design__instance__count__class:sequential_cell,580
design__instance__count__class:multi_input_combinational_cell,2160
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3625
design__instance__count__class:tap_cell,970
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,157
design__io__hpwl,14093654
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,153595
design__violations,0
design__instance__count__class:timing_repair_buffer,1321
design__instance__count__class:clock_buffer,94
design__instance__count__class:clock_inverter,36
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,555
antenna__violating__nets,23
antenna__violating__pins,31
route__antenna_violation__count,23
antenna_diodes_count,181
design__instance__count__class:antenna_cell,181
route__net,4262
route__net__special,2
route__drc_errors__iter:1,4466
route__wirelength__iter:1,207113
route__drc_errors__iter:2,2833
route__wirelength__iter:2,205299
route__drc_errors__iter:3,2483
route__wirelength__iter:3,204657
route__drc_errors__iter:4,910
route__wirelength__iter:4,204625
route__drc_errors__iter:5,255
route__wirelength__iter:5,204680
route__drc_errors__iter:6,91
route__wirelength__iter:6,204672
route__drc_errors__iter:7,26
route__wirelength__iter:7,204674
route__drc_errors__iter:8,4
route__wirelength__iter:8,204639
route__drc_errors__iter:9,0
route__wirelength__iter:9,204645
route__drc_errors,0
route__wirelength,204645
route__vias,38435
route__vias__singlecut,38435
route__vias__multicut,0
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,794.34
timing__unannotated_net__count__corner:nom_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,45
design__max_fanout_violation__count__corner:min_tt_025C_1v80,58
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2802518019197755
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.44139484983067434
timing__hold__ws__corner:min_tt_025C_1v80,0.3369526975034081
timing__setup__ws__corner:min_tt_025C_1v80,16.37052140182536
timing__hold__tns__corner:min_tt_025C_1v80,0.0
